campus_id,id,built_year,category,gross_floor_area,room_area,capacity
1,1,,other,,,
1,2,,other,,,
1,3,,other,,,
1,4,1967,mixed use,145558.14000000016,1790.17,79.0
1,5,1899,other,0.0,,
1,6,1998,other,6210.75,473.03000000000003,0.0
1,7,1980,teaching,176996.6100000002,2377.77,799.0
2,8,1998,library,2395.0,,
2,9,1990,teaching,952.0,,
2,10,2007,teaching,309.0,,
2,11,1994,teaching,2682.0,,
2,12,2007,other,154.0,,
2,13,1999,teaching,1404.0,,
2,14,2004,mixed use,1245.0,,
1,15,1967,other,15728.400000000005,1709.4300000000003,0.0
1,16,1992,mixed use,786493.8900000029,5681.029999999999,737.0
1,17,1967,mixed use,1259005.4499999948,5129.219999999997,616.0
1,18,1972,mixed use,1405706.1599999988,5353.080000000002,775.0
1,19,2006,leased,600.0,,
1,20,1973,residence,42646.39999999995,871.4199999999998,0.0
1,21,1997,other,265.0,,
3,22,2012,mixed use,558.0,,
1,23,1970,office,558322.6000000011,4626.979999999996,481.0
1,24,1967,mixed use,1558475.0999999908,5485.429999999998,552.0
1,25,1972,mixed use,384454.4499999991,2997.530000000001,442.0
1,26,1972,mixed use,1464449.6100000022,6482.509999999992,766.0
1,27,1967,mixed use,145226.20000000004,2850.78,1246.0
1,28,,other,0.0,,
1,29,1976,mixed use,1691664.8399999966,5219.719999999992,721.0
1,30,1988,mixed use,1466488.4200000006,4961.590000000004,994.0
1,31,1899,teaching,125797.68000000011,3733.95,264.0
1,32,1899,teaching,8037.119999999998,827.7,488.0
1,33,1972,mixed use,1070857.9200000025,4046.1700000000014,645.0
1,34,1968,mixed use,786082.8900000039,4444.389999999999,800.0
1,35,1899,sport,316182.8800000003,8680.429999999998,73.0
1,36,1993,mixed use,74609.19000000005,1102.15,246.0
1,37,1965,library,5459748.900000038,15175.560000000018,983.0
1,38,2013,mixed use,4573541.699999976,11179.240000000003,1437.0
1,39,1972,teaching,1356939.4800000023,5880.349999999996,723.0
1,40,1999,other,2849674.200000011,6195.89999999999,46.0
1,41,2019,teaching,16967.0,,
1,42,1899,office,4249.980000000001,370.54999999999995,8.0
1,43,,other,,,
1,44,1986,mixed use,2358137.079999972,6313.590000000001,722.0
1,45,,other,0.0,,
1,46,1972,residence,0.0,,
2,47,2011,residence,465.0,,
2,48,2011,residence,465.0,,
1,49,1969,office,222608.9599999995,2958.0899999999997,199.0
1,50,1968,mixed use,911138.5599999987,5856.930000000002,764.0
1,51,1970,mixed use,344871.48000000016,3129.979999999994,412.0
3,52,1899,other,0.0,,
3,53,1990,residence,0.0,,
1,54,1899,mixed use,1312015.9999999988,6040.389999999992,643.0
1,55,1899,mixed use,0.0,,
1,56,2018,sport,71171.19999999994,1458.2299999999998,0.0
1,57,2019,teaching,3291656.199999991,11077.740000000022,204.0
1,58,1973,mixed use,968797.2600000042,5364.240000000002,849.0
1,59,2014,mixed use,3255395.129999976,8275.139999999968,1595.0
1,60,1966,mixed use,1208347.8399999996,7756.220000000001,691.0
1,61,1966,mixed use,1208347.8399999996,7756.220000000001,691.0
1,62,1968,teaching,1274716.1699999983,7615.16,1331.0
1,63,1972,mixed use,1640647.3800000031,12387.619999999997,1362.0
1,64,1899,other,5233.400000000001,253.32999999999998,0.0
